Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-14,0.9807068951127523,0.9879052095143819,0.9750082670845052,0.9790575504302979,415721600,0.0,0.0
2004-12-15,0.9783075394367912,0.9816069291458158,0.9696103405557552,0.9786073565483093,398361600,0.0,0.0
2004-12-16,0.9919541646771005,1.0121979903419667,0.9904543773318248,0.9987024068832397,1126115200,0.0,0.0
2004-12-17,1.002300296493426,1.005299869930734,0.9732097197434987,0.9745592474937439,783496000,0.0,0.0
2004-12-20,0.9817566204929148,0.9897040282187781,0.92612326482331,0.9405190944671631,1168126400,0.0,0.0
2004-12-21,0.9531158892572962,0.9562649225622049,0.923724678164233,0.9550649523735046,1064414400,0.0,0.0
2004-12-22,0.9546153948049363,0.9651123028616936,0.9507164688765896,0.9559649229049683,565829600,0.0,0.0
2004-12-23,0.9559646188222987,0.9634618501735552,0.9537149388768194,0.959863543510437,245929600,0.0,0.0
2004-12-27,0.9717100105825272,0.9769584636694583,0.9429183477768581,0.9471170902252197,559490400,0.0,0.0
2004-12-28,0.949216476923788,0.9634619487213627,0.9304724456223384,0.9624122381210327,611755200,0.0,0.0
2004-12-29,0.9568637265127439,0.9744085828225462,0.9532654207662038,0.9663109183311462,449562400,0.0,0.0
2004-12-30,0.9718593651720489,0.9751587557166363,0.9630126058654139,0.9717099070549011,345340800,0.0,0.0
2004-12-31,0.9730595875722989,0.9747088326270044,0.9601635423566766,0.9657117128372192,278588800,0.0,0.0
2005-01-03,0.9714100742233047,0.9763587094839149,0.9387194901980419,0.9490669369697571,691992000,0.0,0.0
2005-01-04,0.9565640472055091,0.9817564956129999,0.9442676401463823,0.9588137269020081,1096810400,0.0,0.0
2005-01-05,0.9666108708989168,0.9784581040041931,0.9604630671802393,0.9672113060951233,680433600,0.0,0.0
2005-01-06,0.969760054774027,0.9733591624393081,0.949666496854015,0.9679612517356873,705555200,0.0,0.0
2005-01-07,0.9747086124929747,1.0441381597495603,0.9709599469017471,1.0384396314620972,2227450400,0.0,0.0
2005-01-10,1.047136611413216,1.060183008781381,1.0178956873363545,1.0340911149978638,1725309600,0.0,0.0
2005-01-11,1.023444823058744,1.0369404069041288,0.9618130914885773,0.9681111574172974,2611627200,0.0,0.0
2005-01-12,0.9814569993431264,0.988205138997527,0.949216488296473,0.9816072583198547,1919702400,0.0,0.0
2005-01-13,1.1053201026604336,1.1159672690384645,1.0456383499714013,1.0466879606246948,3164716800,0.0,0.0
2005-01-14,1.0534352733969028,1.0754786961517029,1.0375404560935884,1.0526853799819946,1770742400,0.0,0.0
2005-01-18,1.0474366512399518,1.0601832342438426,1.015946041291997,1.0594333410263062,1006460000,0.0,0.0
2005-01-19,1.0570342253633085,1.071579512669407,1.0459377865576793,1.047886848449707,751895200,0.0,0.0
2005-01-20,1.04443797085186,1.0687310695888315,1.0417390157308026,1.056584119796753,914922400,0.0,0.0
2005-01-21,1.069331245138853,1.0736794471333166,1.0496869542653013,1.0570347309112549,911332800,0.0,0.0
2005-01-24,1.064382469925749,1.0763790651781469,1.0579340459587727,1.0610830783843994,841629600,0.0,0.0
2005-01-25,1.0702302005183766,1.092273622396237,1.0637825789530375,1.0804272890090942,969231200,0.0,0.0
2005-01-26,1.089575116888474,1.0909245451364407,1.067981762272178,1.0834273099899292,739496800,0.0,0.0
2005-01-27,1.082075975143171,1.0934730273130768,1.0729294028136838,1.089274287223816,496227200,0.0,0.0
2005-01-28,1.088974949696273,1.1093683242797852,1.0862751935670025,1.1093683242797852,801612000,0.0,0.0
2005-01-31,1.118366570174056,1.1680015946079694,1.1173168593562997,1.1531556844711304,1681097600,0.0,0.0
2005-02-01,1.1554050294156963,1.1662016514091242,1.1483569731156806,1.1626025438308716,678395200,0.0,0.0
2005-02-02,1.168900557461382,1.1982918499455022,1.1650016328638946,1.194093108177185,1020062400,0.0,0.0
2005-02-03,1.1861455567981742,1.191094191263572,1.1596035817704387,1.16680109500885,731651200,0.0,0.0
2005-02-04,1.1677013977376964,1.1835962126776927,1.1626025036769285,1.1822466850280762,563556000,0.0,0.0
2005-02-07,1.183595978857223,1.1898941403661951,1.162152998809439,1.183746337890625,524456800,0.0,0.0
2005-02-08,1.1856961981276357,1.2203358594969331,1.1814973542225586,1.2131383419036865,890019200,0.0,0.0
2005-02-09,1.2152372228400004,1.2294827946767868,1.1711503788916893,1.1807470321655273,1191456000,0.0,0.0
2005-02-10,1.180446616720436,1.188844096304042,1.149556453135198,1.1750487089157104,1093019200,0.0,0.0
2005-02-11,1.1975421689601962,1.2260340149831506,1.1837467726320383,1.2177867889404297,1201054400,0.0,0.0
2005-02-14,1.240579257211003,1.2714702404777964,1.230382969338245,1.269071102142334,1271463200,0.0,0.0
2005-02-15,1.2995120010881174,1.3358008952237561,1.2896147296424758,1.325754165649414,2312217600,0.0,0.0
2005-02-16,1.3218552733107938,1.3525958980646045,1.3098585803519436,1.351546287536621,1639243200,0.0,0.0
2005-02-17,1.3593440187273351,1.362792867438663,1.3113582521600828,1.3167569637298584,1518473600,0.0,0.0
2005-02-18,1.3157076223858386,1.317507126539865,1.293364379775577,1.3017618656158447,1163254400,0.0,0.0
2005-02-22,1.294113257357372,1.3241048881674458,1.278968334197998,1.278968334197998,1219293600,0.0,0.0
2005-02-23,1.30041129168143,1.3263536378165395,1.2828672306512559,1.3230551481246948,1345181600,0.0,0.0
2005-02-24,1.3268038633504153,1.3392497311241365,1.315557064195688,1.3335520029067993,1519028000,0.0,0.0
2005-02-25,1.343898992199126,1.348247994566772,1.322455099022204,1.3344517946243286,915510400,0.0,0.0
2005-02-28,1.3399994954039545,1.3537957906069664,1.3184062517513537,1.3453983068466187,651610400,0.0,2.0
2005-03-01,1.3492971674272038,1.3528954739315242,1.3244044344020172,1.3346015214920044,468188000,0.0,0.0
2005-03-02,1.3271038007165115,1.3462980114441752,1.322005706068434,1.3232048749923706,458161200,0.0,0.0
2005-03-03,1.3307025114546303,1.3319016799299412,1.2362307796587029,1.2533254623413086,1411653600,0.0,0.0
2005-03-04,1.2824168062809618,1.2899140360659742,1.255124939800944,1.2839165925979614,756618800,0.0,0.0
2005-03-07,1.2836158753075668,1.2971123494220815,1.2701203021459162,1.2821168899536133,450632000,0.0,0.0
2005-03-08,1.2566250202853715,1.2644221691166913,1.2026409089183523,1.2155369520187378,1021451200,0.0,0.0
2005-03-09,1.1888445904582101,1.2080386944762969,1.1645522934401278,1.1801472902297974,1322465200,0.0,0.0
2005-03-10,1.1855461241382548,1.2074392855580902,1.1726500810346934,1.1945432424545288,777109200,0.0,0.0
2005-03-11,1.2059397298779824,1.2173367893433424,1.1936441196373822,1.207739233970642,632830800,0.0,0.0
2005-03-14,1.2152367731392628,1.2233345375930142,1.1852460539989353,1.2092385292053223,605385200,0.0,0.0
2005-03-15,1.21883659680012,1.2338319639615554,1.2071397198951637,1.2284332513809204,508608800,0.0,0.0
2005-03-16,1.235931380517196,1.2689208878232219,1.2230353347779321,1.2350311279296875,697813200,0.0,0.0
2005-03-17,1.2455280005703462,1.286016541736077,1.2392298364455023,1.2671221494674683,801920000,0.0,0.0
2005-03-18,1.299512111520081,1.3028115026000826,1.2746193725559893,1.2884156703948975,940150400,0.0,0.0
2005-03-21,1.2983119777365544,1.3187060540985758,1.2854159340832911,1.3106083869934082,541128000,0.0,0.0
2005-03-22,1.310908072692628,1.3184062047551477,1.2800178948443466,1.284516453742981,551415200,0.0,0.0
2005-03-23,1.2731191824466166,1.3016110205977331,1.2602231412474634,1.2761187553405762,609823200,0.0,0.0
2005-03-24,1.2869153700708365,1.2896143247545424,1.2746188640594482,1.2746188640594482,352704800,0.0,0.0
2005-03-28,1.2821178500547639,1.2884160158198334,1.273720362438637,1.2755199670791626,275410800,0.0,0.0
